제목,저자,역자,글그림,그림,기획,감수,글,출판사,출간일,가격,평점,리뷰수,상세페이지링크,페이지수,카테고리,책 설명
국민 담임 서진쌤의 초등 입학 준비,정서진,,,,,,,서사원,2024년 12월,16020,9.7,78,https://www.yes24.com/product/goods/139710666,224,국내도서 가정 살림 자녀교육 학습법일반,"12년차 국민 담임 서진쌤이 떠먹여 주는 2025년 초등 입학의 모든 것 엄마와 아이가 함께하는 ‘신개념’ 초등 입학 준비초등 교사의 노하우를 담은 부모용 입학 준비&초등생활아이가 직접 쓰고 그리는 슬기로운 초등생활을 위한 활동책 증정 겨우내 잠자던 잎이 싹을 틔우고, 개나리 옷을 입은 산자락 사이로 차지도 덥지도 않은 봄바람이 노래처럼 흘러나오는 3월. 부드러운 햇고사리 같은 손으로 실내화 가방을 들고, 종종걸음으로 입학식에 가는 여덟 살 아이를 떠올리면 엄마의 마음은 봄볕처럼 따뜻해졌다가 이내 울컥해진다. 빠뜨린 물건은 없는지, 선생님 말씀 잘 듣고 아이들과 잘 지낼지, 밥은 잘 먹을지……. 우리 아이 초등생활을 대비해 만만의 준비를 해왔다고 자부했지만, 어쩐지 등굣길에서 만난 학부모들의 수다에 자꾸만 귀가 쫑긋거리게 되는 건 어쩔 수 없다.아이에게 잘하고 있지만, 더 해주고 싶어서 걱정 많은 예비 초등 학부모가 하나둘 모여든 곳은 ‘국민 담임 서진쌤의 인스타그램’이다. “초등 입학 준비, 속 시원하게 딱 알려드립니다!”라고 호언장담하며 전국의 학부모에게 받은 고민을 공유하고 명쾌한 답변을 담아 콘텐츠를 만들었다. 서진쌤의 초등 입학 준비 콘텐츠에는 12년간 교직에 선 교사로서 바라본 초등생활의 모든 것이 담겨 있을뿐더러 두 아이의 엄마로서 첫째를 초등학교에 보낸 학부모의 마음도 들어 있다. 그래서 일부 ‘학교생활 이렇게 하면 편하다’, ‘준비물은 이렇게 챙겨야 한다’처럼 조회수만 바라보고 업로드한 잘못된 정보나 믿거나 말거나 식의 ‘카더라 통신’에는 선생님으로서 단호하게 “그렇게 하면 안됩니다!”라며 정보를 바로잡아 준다. 입학 준비로 걱정 많은 학부모의 질문을 받으면 부정적인 태도보다는 질문 속에 숨겨진 마음을 읽고 질문자의 마음을 다독인 뒤 명쾌한 해결책을 제시한다. 2023년도부터 온라인으로 팔로워들의 입학 준비를 도우면서 명실상부 ‘입학 전문 선생님’으로 떠오른 서진쌤. 그동안 차곡차곡 모은 정보 중 “어머님, 이건 진짜 아셔야 합니다.”라는 콘셉트로 2025년 『국민 담임 서진쌤의 초등 입학 준비』가 책으로 세상에 나왔다. 수많은 정보 중에 정말 알아야 할 것만 담아 술술술 단숨에 읽히며, 책을 덮었을 때 한눈에 입학 준비부터 학기 초 학교생활에 적응하는 방법이 선명하게 눈앞에 그려질 것이다. 무엇보다 입학 준비는 ‘예비 학생이 주도적으로 준비해야 하는 것’이라는 생각에 아이를 위한 활동책을 만들었다. 자기소개 쓰기, 운필력을 기르는 선 긋기, 시계 보는 방법, 소근육 활동을 위한 스티커 붙이기 등 다채로운 내용이 많아 재미도 있고, 활용도도 높다. 2025년도 입학도 서진쌤과 함께 ‘초등 입학 타파!’를 외치며 즐겁게 입학 준비를 해 보자."
허송세월,김훈,,,,,,,나남,2024년 06월,16200,9.4,217,https://www.yes24.com/product/goods/126845471,336,국내도서 에세이 한국 에세이,"“중생의 어리석음은 한이 없는데, 나는 이 어리석음과 더불어 편안해지려 한다”‘생활의 정서’를 파고드는 김훈의 산문 미학삶의 어쩔 수 없는 비애와 아름다움을 누구보다 잘 이해하는 우리 시대의 문장가, 김훈. 시간과 공간 속으로 삭아드는 인생의 단계를 절감한다는 그가 “겪은 일을 겪은 대로” 쓴 신작 산문을 들고 돌아왔다. 생과 사의 경계를 헤매고 돌아온 경험담, 전쟁의 야만성을 생활 속의 유머로 승화해 낸 도구에 얽힌 기억, 난세를 살면서도 푸르게 빛났던 사의 청춘들, 인간 정서의 밑바닥에 고인 온갖 냄새에 이르기까지, 그의 치열한 ‘허송세월’을 담은 45편의 글이 실렸다. ‘본래 스스로 그러한 세상’의 이치를 아는 이로서 그 어느 때보다 명료하고도 섬세한 문체로 생활의 정서를 파고든 《허송세월》은 김훈 산문의 새 지평이다."
용선생 교과서 세계사 2,"사회평론,역사연구소,송용운,김언진,길병민,한승준,김보미,정엄지,뭉선생,이우일,전국초등사회교과모임",,,,,,,사회평론,2023년 12월,14400,9.9,56,https://www.yes24.com/product/goods/124106985,268,국내도서 어린이 3-4학년 3-4학년 학습 3-4학년 사 지리,"450만 독자가 선택한 초등 사 베스트, 용선생이번엔 세계사 특강이다!중학교에서 한국사보다 먼 나오는 세계사, 하지만 방대한 분량으로 섣불리 손대기 부담스러운 세계사. 초등 사 베스트 용선생이 이제 세계사 특강을 시작합니다. 용선생의 명성 그대로 핵심을 짚는 쉬운 서술과 재미있는 삽화, 100% 교과 연계에 깔끔한 정리와 확인 문제까지. 본격적으로 세계사 공부를 시작하려는 아이들에게 가장 완벽한 대안을 제시합니다."
친구의 전설,이지은,,,,,,,웅진주니어,2023년 11월,15120,9.9,355,https://www.yes24.com/product/goods/123776471,양,국내도서 유아 4-6세 4-6세 우리나라 그림책,"『팥빙수의 전설』을 잇는 강력하고 치명적인 전설이 찾아왔다! 『팥빙수의 전설』로 여름, 겨울 할 것 없이 팥빙수 열풍을 일으켰던 이지은 작가가 새로운 전설의 문을 열었다. “맛있는 거 주면 안 잡아먹지!” 한마디로 앙증맞은 위협을 일삼던 눈 호랑이와 시종일관 무덤덤하게 갈 길을 재촉하던 할머니의 케미가 그리워질 때쯤 찾아온 반가운 소식이다. 어느 날 갑자기 내 몸에 누군가가 붙어 버린다면? 원하든, 원하지 않든 무조건 둘이 모든 시간을 같이 보내야 한다면 어떤 기분일까? 『친구의 전설』은 동네에서 성격 고약하기로 소문난 호랑이와 그 호랑이의 꼬리에 운명처럼 딱 붙어 버린 꼬리 꽃의 이야기다. “맛있는 거 주면 안 잡아먹지!” 동네 구석구석을 돌며 괜한 위협으로 말썽을 일삼는 호랑이에게는 누구도 말을 걸지 않는다. 호랑이가 나타나면 이웃들은 으레 자리를 피했고, 호랑이는 늘 그들의 뒷모습을 아쉬운 표정으로 바라보곤 하는 게 일상이었다. 이런 호랑이에게 운명같이 붙어 버린 수다쟁이 꼬리 꽃의 존재는 그야말로 두 번 다시 일어나지 않을 인생의 충격 반전과도 같은 일이었을 것이다. 걸핏하면 ‘누렁이’를 연발하며 호랑이가 자기 몸에 붙었다고 세상 슬픈 척은 혼자 다 하질 않나, 만나는 이웃들마다 인사를 건네며 수다를 떨지 않나, 도움이 필요하다 하면 앞뒤 안 보고 나서질 않나, 꼬리 꽃은 몸에 붙은 것도 모자라 호랑이의 모든 것을 순식간에 바꿔 놓았다. 동네 말썽꾸러기 외톨이 호랑이와 오지랖으로는 누구에게도 지지 않을 꼬리 꽃은 아웅다웅 다툼을 뒤로 하고 사이 좋게 지낼 수 있을까? 내로라하는 말썽꾸러기 호랑이와 시종일관 바른말로 치명적인 매력을 발산해 온 꼬리 꽃의 이야기로 우리의 마음을 노글노글 녹여 왔던 『친구의 전설』이 새로운 얼굴로 찾아왔다. “맛있는 거 주면 안 잡아먹지!” 한마디로 실없는 위협을 일삼던 허풍선이 호랑이와 하루아침에 호랑이의 꼬리에 탁 붙어 살게 된 꼬리 꽃이 지내온 계절의 시간들, 그 일상의 이야기들이 차곡차곡 쌓여 『친구의 전설』 사이사이에 소복하게 담겼다. 외톨이 호랑이는 꼬리 꽃과의 만남 이후 어떤 시간을 보냈을까? 함께 보낸 시간들을 이 둘은 어떻게 기억할까? 한층 더 짓궂은 표정으로 동네를 호령할 호랑이와 그런 호랑이를 들었다 놨다 할 꼬리 꽃의 내밀하고도 다정한 이야기를 만나 보자."
네 기분은 어떤 색깔이니?,최숙희,,,,,,,책읽는곰,2023년 01월,12600,9.9,94,https://www.yes24.com/product/goods/116867588,양,국내도서 유아 4-6세 4-6세 우리나라 그림책,"엄마와 아이의 마음을 가장 잘 아는 작가 최숙희 신작!내 기분은 무지개색. 자꾸자꾸 달라져.설레는 노랑, 수줍은 연두,신나는 주황, 일렁이는 빨강……내일은 또 어떤 기분이 꽃처럼 피어날까?우리는 하루에도 수없이 밀려왔다 밀려가는 감정의 파도에 흔들리며 살아간다. 그 감정들을 알아차리고 표현하기란 어른에게도 결코 쉽지 않은 일이다. 경험치도, 어휘력도 부족한 어린이들에게는 더더욱 그럴 것이다. 최숙희 작가의 신작 『네 기분은 어떤 색깔이니?』는 자기표현에 서툰 아이들에게 다정하게 말을 건넨다. “지금 네 기분은 어떤 색깔이니?” 좀처럼 설명하기 힘든 감정을 색깔로 표현해 보라고 제안하는 것이다. 나아가 긍정적인 것이든 부정적인 것이든 너를 스쳐 가는 모든 감정이 네 내면을 채우는 소중한 색깔이라고 말해준다. 내면을 채우는 색이 다양하고 풍부할수록 더 눈부신 내일을 꽃피울 수 있을 것이라고 말이다."
벌거벗은 세계사 : 전쟁편,tvN〈벌거벗은 세계사〉 제작팀,,,,,,,교보문고,2022년 07월,20700,9.4,86,https://www.yes24.com/product/goods/111114279,400,국내도서 사 세계사 세계문화,"이토록 재미있는 세계사라니!tvN 〈벌거벗은 세계사〉가 들려준 프레임 밖의 전쟁 이야기이 세상에 그냥 일어나는 일은 아무것도 없습니다. 우리 눈에 보이든, 보이지 않든 모든 일은 마다 연결되어 있습니다. 이러한 일들이 차곡차곡 쌓인 것을 우리는 ‘사’라고 부릅니다. 그리고 사 속 사건들은 비슷한 모습으로 반복됩니다. 따라서 우리가 세계사를 좀 더 깊숙이 배운다면, 앞으로 어떤 일이 벌어질지 조금이라도 예상하고 대비할 힘을 기를 수 있습니다.이 책은 tvN에서 방영한 스토리텔링 세계사 〈벌거벗은 세계사〉에서 다뤘던 내용 중 전쟁에 관한 사건들을 모아 만든 것입니다. 세계 사에 큰 획을 그은 순간은 물론, 처음 만나는 의외의 사실들까지 더해 그동안 우리가 보지 못했던 프레임 밖의 전쟁사를 보여줍니다. 프랑스와 영국이 무려 116년간 벌인 백년전쟁부터 현재 진행형인 우크라이나 전쟁까지, 세계를 뒤흔든 전쟁의 사가 입체적으로 펼쳐집니다. 특히 시간 관계상 방송에서 미처 보여주지 못했던 내용까지 상세하게 정리해, 전쟁의 진짜 원인부터 그동안 우리가 몰랐던 전쟁의 뒷모습까지 확인할 수 있습니다. 그동안 사가 어려웠다면, 세계사가 지루했다면, 외우지 않아도 쏙쏙 들어오는 이야기를 듣듯이 『벌거벗은 세계사: 전쟁편』을 읽어도 좋겠습니다. 책장을 펼치는 순간 아는 것을 넘어 경험으로 안내할 것입니다."
민주의 슬기로운 정치생활,박신식,,,,,,,삼성당,2021년 11월,13500,9.3,11,https://www.yes24.com/product/goods/104691553,152,국내도서 어린이 3-4학년 3-4학년 그림 동화책 3-4학년 창작동화,"뉴스나 신문을 보면 맨 처음 전하는 소식이 바로 정치입니다. 그만큼 정치는 우리 생활과 아주 밀접한 관련이 있어요. 하지만 대부분 어린이들은 정치를 딱딱하고 어렵게 느끼고 있어요. 정치를 어른들만의 일이라 여기면서 무관심하기도 해요.2010년에 나온 ‘정치야 정치야 나 좀 도와줘’가 ‘민주의 슬기로운 정치생활’로 개정하여 출간 되었습니다. 딱딱한 정치 이야기에서 벗어나 가족회의, 학급 회의, 마을의 공동 문제, 선거 등 우리 어린이들이 일상생활에서 쉽게 접할 수 있는 사건을 중심으로 정치 이야기를 풀어냈습니다. 이 책을 읽으며 정치의 의미, 민주주의, 자유와 평등, 인권, 다수결의 원칙, 지방 자치 제도, 정당, 삼권 분립, 시민 단체, 여론과 언론, 국제 사회 등 정치의 기본 지식을 자연스럽게 익힐 수 있습니다. 어린이들도 주인공 민주처럼 정치가 우리 생활에 어떤 할을 하는지 관심을 가졌으면 합니다. 그래야 민주 시민으로 자라서 우리나라의 정치가 잘되고 있는지 판단할 수 있고, 나라를 위해 일하는 정치인을 올바르게 선택할 수 있습니다."
초판본 인간 실격,다자이 오사무,,,,,,,더스토리,2021년 09월,2690,9.9,24,https://www.yes24.com/product/goods/103542316,176,국내도서 소설 시 희곡 일본소설 일본 장편소설,"20세기 일본 데카당스 작품의 최고봉 『인간 실격』무라카미 하루키가 가장 좋아하는 작가 오사이 다자무의 자전적 소설 『인간 실격』 초판본 출간다자이오사무의 대표작 『인간 실격』은 사회에 대한 불안이 팽배한 시대에 꽃핀 작품이다. 작가의 자전적 소설로 알려진 이 작품은 다자이 오사무의 수기 형식을 빌려 마치 작가 자신의 삶을 고백하듯 이야기한다. ‘나’라는 화자가 서술하는 서문과 후기, 작품의 주인공 요조가 쓴 세 개의 수기로 구성되어 인간, 사회와의 모든 통로를 웃음으로 감춰 버린 한 젊은이의 퇴폐적 정서와 불안을 통렬하게 그린다. ‘인간들’을 이해할 수 없었으나 그 세계에 동화되기 위해 ‘익살꾼’을 자처했던 요조는 결국 ‘인간 실격자’가 되고 만다. 소외된 요조를 통해 인간 세상의 위선과 잔혹성을 체험하게 하는 수작! ‘요조’를 통해 누구나 인간이라면 한번쯤 느꼈을 만한 인간 내면의 갈등, 믿지 못하는 인간 세상에서 과연 인간다운 인간이란 무엇인가에 대해 자문해 볼 수 있는 명작을 더스토리 초판본 표지디자인을 통해 만나 보자."
희망,양귀자,,,,,,,쓰다,2020년 06월,17820,9.8,107,https://www.yes24.com/product/goods/90977017,600,국내도서 소설 시 희곡 한국소설 한국 장편소설,"『희망』은 1986년 연작소설 『원미동 사람들』로 80년대 한국 사회의 척박한 시대 지형을 놀랍도록 세밀하게 그려내 주목을 받았던 작가가 처음으로 펴낸 장편소설이다. 90년 초판의 제목은 『잘가라 밤이여』였으나 다음 해 『희망』으로 제목을 바꾸어 재출간했다. “잘가라 밤이여”의 은유에서 벗어나 명료하게 “희망”으로 가고 싶다는 작가의 뜻을 반영했다. 이 소설은 특히 작가 고유의 연민과 따스한 시선이, 그리고 양귀자 특유의 활달하고 서슴없는 문체가 휘몰아치는 시대의 거칠고 황량한 삽화들을 어떻게 이야기로 보듬어 완성하는지를 여실히 보여주고 있어 양귀자의 문학을 이해하는데 중요한 지표가 된다."
지적 대화를 위한 넓고 얕은 지식 2,채사장,,,,,,,웨일북,2020년 02월,17100,9.5,305,https://www.yes24.com/product/goods/86545684,334,국내도서 인문 인문 교양 교양으로 읽는 인문,"“타인과 지적 대화를 하기 위해서 반드시 깔려 있어야 하는 가장 기본 지식”  우리 시대 대표 인문 교양서 「지대넓얕」 첫 개정증보판수백만 독자가 읽고 열광하고, 수년간 인문학 필수 도서로 자리 잡은 대표 인문학 시리즈가 옷을 갈아입고 돌아왔다 어렵고 딱딱하던 인문학 분야 판도를 뒤바꾼 책. 출간 즉시 베스트셀러에 오르는 것을 시작으로, 200만 부 누적 판매를 돌파해 더블 밀리언셀러를 기록하며, 장장 5년간 스테디셀러의 자리에서 꿈쩍도 하지 않은 책. 발음하기도 낯설고 어려운 ‘지대넓얕’이라는 말을 유행시키고, 유사 콘셉트의 TV 프로그램까지 탄생시킨 책, 기초 상식에 목말라 있던 보통 사람들이 거리낌 없이 토론하게 하고 뉴스를 주체적으로 보게 하고 선거에서 주관을 갖게 한 책, 80대 독자가 독학을 시작하고 중학생 독자가 인문학을 읽게 하고 직장인들이 독서 모임을 갖게 하는 등 세대 불문 남녀노소 읽을 수 있도록 쉽고 재미있게 쓰였다고 평가받는 책. 이 모든 것이 『지적 대화를 위한 넓고 얕은 지식』에 대한 설명이다. 신간 [제로] 편에 이어, 출간 5년 만에 처음으로 개정증보판이 나왔다. 거칠고 부족했던 부분은 부드럽게 매만지고 채워 넣었다. 낡은 이야기는 시대에 맞게 바꿨다. 작가 채사장이 출간 후 많은 독자와 만나 나누었던 이야기들은 책을 개정하는 데 도움이 되었다. 꼼꼼하게 수선된 개정판을 읽는 순간, 왜 지난 5년간 이 책의 아성이 깨지지 않았는지 확인하게 될 것이다."
